Channels:	1
Count:	8641
Start:	2460793.1472222223	04/27/25 15:32:00
End:	2460793.1472222223	04/28/25 15:31:50
Parameters:	4
NonRem	2
REM	3
Unscored	255
Wake	1

Date	Time	Time Stamp	Time from Start	yijan_0_Numeric
04/27/25	16:55:40	0	5020.0	1
04/27/25	16:55:50	0	5030.0	1
04/27/25	16:56:00	0	5040.0	1
04/27/25	16:56:10	0	5050.0	1
04/27/25	16:56:20	0	5060.0	1
04/27/25	16:56:30	0	5070.0	2
04/27/25	16:56:40	0	5080.0	1
04/27/25	16:56:50	0	5090.0	1
04/27/25	16:57:00	0	5100.0	1
04/27/25	16:57:10	0	5110.0	2
04/27/25	16:57:20	0	5120.0	2
04/27/25	16:57:30	0	5130.0	1
04/27/25	16:57:40	0	5140.0	2
04/27/25	16:57:50	0	5150.0	2
04/27/25	16:58:00	0	5160.0	2
04/27/25	16:58:10	0	5170.0	2
04/27/25	16:58:20	0	5180.0	1
04/27/25	16:58:30	0	5190.0	2
04/27/25	16:58:40	0	5200.0	2
04/27/25	16:58:50	0	5210.0	2
04/27/25	16:59:00	0	5220.0	2
04/27/25	16:59:10	0	5230.0	2
04/27/25	16:59:20	0	5240.0	2
04/27/25	16:59:30	0	5250.0	2
04/27/25	16:59:40	0	5260.0	1
04/27/25	16:59:50	0	5270.0	2
04/27/25	17:00:00	0	5280.0	1
04/27/25	17:00:10	0	5290.0	2
04/27/25	17:00:20	0	5300.0	2
04/27/25	17:00:30	0	5310.0	1
04/27/25	17:00:40	0	5320.0	1
04/27/25	17:00:50	0	5330.0	1
04/27/25	17:01:00	0	5340.0	1
04/27/25	17:01:10	0	5350.0	1
04/27/25	17:01:20	0	5360.0	1
04/27/25	17:01:30	0	5370.0	2
04/27/25	17:01:40	0	5380.0	2
04/27/25	17:01:50	0	5390.0	2
04/27/25	17:02:00	0	5400.0	2
04/27/25	17:02:10	0	5410.0	1
04/27/25	17:02:20	0	5420.0	1
04/27/25	17:02:30	0	5430.0	1
04/27/25	17:02:40	0	5440.0	2
04/27/25	17:02:50	0	5450.0	2
04/27/25	17:03:00	0	5460.0	1
04/27/25	17:03:10	0	5470.0	1
04/27/25	17:03:20	0	5480.0	1
04/27/25	17:03:30	0	5490.0	2
04/27/25	17:03:40	0	5500.0	2
04/27/25	17:03:50	0	5510.0	2
04/27/25	17:04:00	0	5520.0	2
04/27/25	17:04:10	0	5530.0	2
04/27/25	17:04:20	0	5540.0	2
04/27/25	17:04:30	0	5550.0	2
04/27/25	17:04:40	0	5560.0	2
04/27/25	17:04:50	0	5570.0	2
04/27/25	17:05:00	0	5580.0	2
04/27/25	17:05:10	0	5590.0	2
04/27/25	17:05:20	0	5600.0	2
04/27/25	17:05:30	0	5610.0	2
04/27/25	17:05:40	0	5620.0	2
04/27/25	17:05:50	0	5630.0	2
04/27/25	17:06:00	0	5640.0	2
04/27/25	17:06:10	0	5650.0	2
